MaTinh,TenTinh,LoaiHinh
01,Thành phố Hà Nội,Thành phố Trung ương
04,Tỉnh Cao Bằng,Tỉnh
08,Tỉnh Tuyên Quang,Tỉnh
11,Tỉnh Điện Biên,Tỉnh
12,Tỉnh Lai Châu,Tỉnh
14,Tỉnh Sơn La,Tỉnh
15,Tỉnh Lào Cai,Tỉnh
19,Tỉnh Thái Nguyên,Tỉnh
20,Tỉnh Lạng Sơn,Tỉnh
22,Tỉnh Quảng Ninh,Tỉnh
24,Tỉnh Bắc Ninh,Tỉnh
25,Tỉnh Phú Thọ,Tỉnh
31,Thành phố Hải Phòng,Thành phố Trung ương
33,Tỉnh Hưng Yên,Tỉnh
37,Tỉnh Ninh Bình,Tỉnh
38,Tỉnh Thanh Hóa,Tỉnh
40,Tỉnh Nghệ An,Tỉnh
42,Tỉnh Hà Tĩnh,Tỉnh
44,Tỉnh Quảng Trị,Tỉnh
46,Thành phố Huế,Thành phố Trung ương
48,Thành phố Đà Nẵng,Thành phố Trung ương
51,Tỉnh Quảng Ngãi,Tỉnh
52,Tỉnh Gia Lai,Tỉnh
56,Tỉnh Khánh Hòa,Tỉnh
66,Tỉnh Đắk Lắk,Tỉnh
68,Tỉnh Lâm Đồng,Tỉnh
75,Thành phố Đồng Nai,Thành phố Trung ương
79,Thành phố Hồ Chí Minh,Thành phố Trung ương
80,Tỉnh Tây Ninh,Tỉnh
82,Tỉnh Đồng Tháp,Tỉnh
86,Tỉnh Vĩnh Long,Tỉnh
91,Tỉnh An Giang,Tỉnh
92,Thành phố Cần Thơ,Thành phố Trung ương
96,Tỉnh Cà Mau,Tỉnh
